You;Ты;0
Table;Стол;0
Honor;Честь;0
Sword;Меч;0
Office;Офис;0
Laptop;Ноутбук;0
Notebook;Блокнот;0
Recycle;Перерабатывать;0
Trash;Мусор;0
File;Файл;0
Shield;Щит;0
Helix;Спираль;0
Vertex;Вершина;0
Bill;Счет;0
Ticket;Билет;0
Abandon;Оставить,Покинуть;0
Bargain;Сделка;0
Fish;Рыба;0
Reload;Перезарядка;0
Gun;Пистолет,Пушка;0
Cannon;Пушка,Орудие;0
Ship;Корабль;0
Joke;Шутка;0
Map;Карта;0
Fill;Заполнять,Наполнять;0
Moon;Луна;0
Earth;Земля;0
Mercury;Меркурий;0
Venus;Венера;0
Sun;Солнце;0
Mars;Марс;0
Asteroid;Астероид;0
Belt;Пояс,Ремень;0
Saturn;Сатурн;0
Jupiter;Юпитер;0
Uranus;Уран;0
Neptune;Нептун;0